ID,year,d180
x2b2,261,27.591
x2b2,262,28.583
x2b2,263,27.54
x2b2,264,28.633
x2b2,265,29.454
x2b2,266,30.687
x2b2,267,29.362
x2b2,268,29.402
x2b2,269,29.426
x2b2,270,28.3
x2b2,271,28.865
x2b2,272,28.79
x2b2,273,28.306
x2b2,274,29.982
x2b2,275,29.623
x2b2,276,29.829
x2b2,277,29.856
x2b2,278,29.22
x2b2,279,27.43
x2b2,280,29.544
x2b2,281,27.654
x2b2,282,29.321
x2b2,283,27.833
x2b2,284,28.263
x2b2,285,26.218
x2b2,286,27.921
x2b2,287,28.182
x2b2,288,26.071
x2b2,289,26.808
x2b2,290,27.77
x2b2,291,28.772
x2b2,292,28.32
x2b2,293,25.21
x2b2,294,26.93
x2b2,295,27.04
x2b2,296,27.79
x2b2,297,27.375
x2b2,298,27.902
x2b2,299,28.739
x2b2,300,28.612
x2b2,301,28.25
x2b2,302,27.446
x2b2,303,27.366
x2b2,304,27.978
x2b2,305,28.111
x2b2,306,28.131
x2b2,307,27.711
x2b2,308,27.265
x2b2,309,
x2b2,310,
x2b2,311,
x2b2,312,28.22
x2b2,313,27.055
x2b2,314,26.87
x2b2,315,27.602
x2b2,316,27.557
x2b2,317,
x2b2,318,28.504
x2b2,319,27.251
x2b2,320,28.019
x2b2,321,27.826
x2b2,322,27.548
x2b2,323,28.244
x2b2,324,27.605
x2b2,325,28.33
x2b2,326,28.427
x2b2,327,27.649
x2b2,328,26.949
x2b2,329,26.457
x2b2,330,27.606
x2b2,331,27.436
x2b2,332,26.821
x2b2,333,25.874
x2b2,334,26.219
x2b2,335,26.919
x2b2,336,29.299
x2b2,337,27.887
x2b2,338,27.534
x2b2,339,26.766
x2b2,340,28.308
x9b,200,32.347
x9b,201,27.502
x9b,202,29.407
x9b,203,29.185
x9b,204,29.89
x9b,205,29.411
x9b,206,30.555
x9b,207,25.993
x9b,208,28.297
x9b,209,28.109
x9b,210,26.392
x9b,211,30.457
x9b,212,27.921
x9b,213,29.319
x9b,214,27.009
x9b,215,28.389
x9b,216,26.728
x9b,217,27.792
x9b,218,27.806
x9b,219,27.81
x9b,220,27.356
x9b,221,26.516
x9b,222,27.488
x9b,223,28.287
x9b,224,26.965
x9b,225,28.892
x9b,226,27.922
x9b,227,28.099
x9b,228,27.63
x9b,229,28.33
x9b,230,27.99
x9b,231,29.222
x9b,232,27.621
x9b,233,27.323
x9b,234,27.61
x9b,235,26.866
x9b,236,28.167
x9b,237,30.73
x9b,238,27.836
x9b,239,27.044
x9b,240,34.003
x9b,241,28.158
x9b,242,27.974
x9b,243,28.437
x9b,244,27.055
x9b,245,28.045
x9b,246,29.058
x9b,247,27.63
x9b,248,28.416
x9b,249,28.432
x9b,250,26.956
x9b,251,26.738
x9b,252,28.81
x9b,253,28.388
x9b,254,29.23
x9b,255,26.51
x9b,256,28.398
x9b,257,27.841
x9b,258,28.837
x9b,259,28.391
x9b,260,27.816
x9b,261,29.221
x9b,262,28.972
x9b,263,28.124
x9b,264,27.089
x9b,265,27.175
x9b,266,30.1
x9b,267,27.322
x9b,268,27.929
x9b,269,30.365
x9b,270,29.041
x9b,271,27.955
x9b,272,29.502
x9b,273,27.214
x9b,274,28.792
x9b,275,33.223
x9b,276,29.649
x9b,277,30.155
x9b,278,27.135
x9b,279,28.106
x9b,280,28.766
x9b,281,28.26
x9b,282,29.15
x9b,283,28.569
x9b,284,27.106
x9b,285,28.188
x9b,286,29.372
x9b,287,30.393
x9b,288,26.193
x9b,289,27.276
x9b,290,29.065
x9b,291,29.141
x9b,292,30.959
x9b,293,28.23
x9b,294,31.303
x9b,295,29.097
x9b,296,29.043
x9b,297,28.847
x9b,298,31.149
x9b,299,29.444
x9b,300,32.358
x9b,301,27.917
x9b,302,28.037
x9b,303,28.841
x9b,304,28.616
x9b,305,27.36
x9b,306,28.473
x9b,307,27.816
x9b,308,27.6
x9b,309,26.425
x9b,310,27.008
x9b,311,
x9b,312,27.769
x9b,313,28.918
x9b,314,26.786
x9b,315,27.559
x9b,316,27.767
x9b,317,28.572
x9b,318,
x9b,319,27.319
x9b,320,27.478
x9b,321,28.795
x9b,322,26.972
x9b,323,28.813
x9b,324,27.15
x9b,325,28.107
x9b,326,29.986
x9b,327,28.502
x9b,328,28.723
x9b,329,26.342
x9b,330,27.759
x9b,331,26.813
x9b,332,27.287
x9b,333,26.99
x9b,334,27.918
x9b,335,28.514
x9b,336,26.628
x9b,337,26.202
x9b,338,27.559
x9b,339,27.07
x9b,340,28.212
x9b,341,26.315
x9b,342,27.136
x9b,343,25.691
x9b,344,26.265
x9b,345,26.59
x9b,346,27.181
x9b,347,27.697
x9b,348,26.266
x9b,349,25.557
x9b,350,26.828
